Date,Open,High,Low,Close,Volume
05/14/2026,"299.82","300.45","295.38","298.21","35,324,922"
05/13/2026,"293.50","300.92","293.50","298.87","52,684,262"
05/12/2026,"292.56","295.27","292.56","294.80","45,748,129"
05/11/2026,"291.98","293.88","290.23","292.68","42,247,289"
05/08/2026,"290.01","294.76","290.00","293.32","52,692,762"
05/07/2026,"289.27","292.13","285.78","287.44","45,224,301"
05/06/2026,"281.92","288.03","281.07","287.51","58,336,070"
05/05/2026,"276.93","284.57","276.50","284.18","49,311,711"
05/04/2026,"279.66","280.63","274.86","276.83","46,668,398"
05/01/2026,"278.86","287.22","278.37","280.14","79,915,438"
04/30/2026,"270.50","276.00","268.14","271.35","91,848,234"
04/29/2026,"267.55","271.04","267.04","270.17","30,047,869"
04/28/2026,"272.34","273.23","268.66","270.71","40,018,941"
04/27/2026,"266.09","268.36","265.07","267.61","41,466,762"
04/24/2026,"272.76","273.06","269.65","271.06","38,157,113"
04/23/2026,"275.05","275.77","271.65","273.43","33,399,641"
04/22/2026,"267.82","273.74","266.87","273.17","43,249,199"
04/21/2026,"271.50","272.80","265.40","266.17","50,209,762"
04/20/2026,"270.33","274.28","270.29","273.05","36,590,168"
04/17/2026,"266.96","272.30","266.72","270.23","61,436,230"
04/16/2026,"266.80","267.16","261.27","263.40","43,323,113"
04/15/2026,"258.16","266.56","257.81","266.43","49,913,512"
04/14/2026,"259.25","261.93","257.19","258.83","48,370,711"
